RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Entretenimiento;Deportes;Fibra Humana;2798;FIBRA HUMANA;20127;Aguirre;761;PALERMO;-34,59538;-58,43769;CABA NORTE;CABA
Entretenimiento;Deportes;Fibra Humana;2798;FIBRA HUMANA;20128;25 de mayo;205;MORON;-34,65057;-58,61981;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Moda;Indumentaria Deportiva;Fiction Skate Shop;5094;Córdoba;12330;Av. Richeri;2979;CORDOBA;-31,44648;-64,17682;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;Fiction Skate Shop;5094;Nueva Córdoba;12331;Independencia;468;CORDOBA;-31,42164;-64,18671;INTERIOR;INTERIOR
Gastronomía;Restaurantes;Fidelio;13866;Fidelio- Quilmes;23871;Alem;200;QUILMES;-34,72284;-58,25679;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
Gastronomía;Restaurantes;Fifí;34642;Fifí- Palermo;46116;Gorriti;4812;PALERMO;-34,59063;-58,4315;CABA NORTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Figurella-Pilar;126629;Los Jacintos;727;PILAR;-34,4383;-58,79159;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Cuidado Personal;Centros de Estética;Figurella;116572;Canning;126628;RP PROF DR MARIANO CASTEX;727;EZEIZA;-34,85224;-58,50391;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Cuidado Personal;Centros de Estética;Figurella;116572;Nordelta;126627;AV DE LOS LAGOS;6855;NORDELTA;-34,40387;-58,65686;TIGRE / SAN FERNANDO;GBA Norte
Cuidado Personal;Centros de Estética;Figurella;116572;Talcahuano;126613;TALCAHUANO;439;SAN NICOLAS;-34,60341;-58,38502;CABA SUR;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Lomas de Zamora;126618;M SANCHEZ DE LORIA;142;LOMAS DE ZAMORA;-34,76335;-58,3992;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Cuidado Personal;Centros de Estética;Figurella;116572;Ramos Mejía;126619;BELGRANO;262;RAMOS MEJIA;-34,64228;-58,56791;MATANZA;GBA Oeste
Cuidado Personal;Centros de Estética;Figurella;116572;Palermo Salguero;126611;J SALGUERO;3081;PALERMO;-34,57696;-58,40511;CABA NORTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Palermo Alto;126610;AV SANTA FE;3205;PALERMO;-34,58882;-58,41024;CABA NORTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Almagro;126603;AV CORRIENTES;3989;ALMAGRO;-34,6034;-58,4441;CABA OESTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Devoto;126626;CLAUDIO M CUENCA;3321;VILLA DEVOTO;-34,59924;-58,49673;CABA OESTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;San Isidro;126616;9 DE JULIO;324;SAN ISIDRO;-34,46966;-58,51139;SAN ISIDRO;GBA Norte
Cuidado Personal;Centros de Estética;Figurella;116572;Villa Urquiza;126614;MENDOZA;5082;VILLA URQUIZA;-34,57713;-58,48348;CABA NORTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Vicente López;126617;AV MAIPU;852;VICENTE LOPEZ;-34,53017;-58,48042;VICENTE LOPEZ;GBA Norte
Cuidado Personal;Centros de Estética;Figurella;116572;Palermo Soho;126612;GURRUCHAGA;1887;PALERMO;-34,58761;-58,42641;CABA NORTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Lomas de San Isidro;126615;AV BLANCO ENCALADA;56;SAN ISIDRO;-34,49393;-58,55187;SAN ISIDRO;GBA Norte
Cuidado Personal;Centros de Estética;Figurella;116572;Barrio Norte;126604;AV SANTA FE;1924;RECOLETA;-34,59591;-58,3951;CABA SUR;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Nuñez;126609;M PEDRAZA;1773;NUÑEZ;-34,54817;-58,46041;CABA NORTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Córdoba Olmos;126622;AV DR VELEZ SARSFIELD;311;CORDOBA;-31,41893;-64,18839;INTERIOR;INTERIOR
Cuidado Personal;Centros de Estética;Figurella;116572;Rosario Barrio Martín;126625;AV E PERON;7997;ROSARIO;-32,92907;-60,73416;INTERIOR;INTERIOR
Cuidado Personal;Centros de Estética;Figurella;116572;Mar del Plata;126624;FALUCHO;2868;MAR DEL PLATA;-38,00378;-57,55416;INTERIOR;INTERIOR
Cuidado Personal;Centros de Estética;Figurella;116572;Figurella-Rosario;126630;Entre Ríos;465;ROSARIO;-32,94209;-60,64212;INTERIOR;INTERIOR
Cuidado Personal;Centros de Estética;Figurella;116572;Caballito Goyena;126606;PUAN;408;CABALLITO;-34,62758;-58,44686;CABA OESTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Córdoba Barrio Jardín;126623;AV RICCHIERI;3011;CORDOBA;-31,44679;-64,17678;INTERIOR;INTERIOR
Cuidado Personal;Centros de Estética;Figurella;116572;Castelar;126620;AV PTE D F SARMIENTO;2896;CASTELAR;-34,64458;-58,64746;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Cuidado Personal;Centros de Estética;Figurella;116572;Códoba Cerro;126621;G GAVIER;1989;CORDOBA;-31,36905;-64,23573;INTERIOR;INTERIOR
