RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Viajes y Turismo;Agencias y Paquetes;Snow Rental;4644;Martinez;11364;Call center 1555746680 / 1567520662;;MARTINEZ;-34,49481;-58,51645;SAN ISIDRO;GBA Norte
Viajes y Turismo;Hoteles;Solanas Termas del Dayman;13512;Solanas Termas del Dayman;23513;Los molles y los espinollos;;SAN CARLOS;31,45036;57,90936;URUGUAY;MERCOSUR
Gastronomía;Delivery;Sushi Pop;3490;Mar del plata;47105;Mar del plata;;MAR DEL PLATA;0;0;INTERIOR;INTERIOR
Gastronomía;Delivery;Sushi Pop;3490;Sucursal Virtual;15554;Sucursal Virtual;;ALMAGRO;-34,6;-58,41667;CABA OESTE;CABA
Gastronomía;Delivery;Sushi Más;5570;Delivery;13511;Delivery;;BELGRANO;-34,5625;-58,45833;CABA NORTE;CABA
Gastronomía;Restaurantes;Sudare Sushi;4526;Escobar (Loma Verde);51047;Ramal Escobar Km. 54 Los Cerros y Oldman;;LOMA VERDE;-34,34642;-58,86101;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Viajes y Turismo;Hoteles;Termas del Salado;5452;General Belgrano;13211;Av. Intendente Ferrer y Camino de la Rivera;;GENERAL BELGRANO;-35,65527;-58,47257;INTERIOR;INTERIOR
Gastronomía;Restaurantes;SushiClub;37160;SushiClub - Pilar;47163;Panamericana Km 42.5;;PILAR;-34,43848;-58,79447;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Gastronomía;Bares y Cafés;The Coffee Store;43;Mendoza;11405;Av. Perú y Av. Colón;;MENDOZA;-32,89399;-68,84582;INTERIOR;INTERIOR
Gastronomía;Delivery;Sushi Pop;3490;Lomas;15985;Lomas de Zamora;;LOMAS DE ZAMORA;0;0;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Gastronomía;Bares y Cafés;The Coffee Store;43;Quilmes;11406;Brandsen esq. Gral. Paz;;QUILMES;-34,72565;-58,24833;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
